Name,Latitude,Longitude,Height
2023-0059-CUB,23.0131338,-80.8328748,150
2023-0060-PER,-5.0,-80.333333,150
2023-0061-PAK,51.2086975,89.2343748,150
2023-0062-TCD,13.2937546,19.6889527,150
2023-0063-JPN,36.5748441,139.2394179,150
2023-0064-IND,26.8381,80.9346001,150
2023-0065-CHN,27.6662087,111.7487063,150
2023-0066-PER,-16.416667,-72.833333,150
2023-0068-ZMB,-2.4992124,28.8529306,150
2023-0068-ZMB,8.4614478,16.0856415,150
2023-0068-ZMB,-14.04341,32.96604,150
2023-0068-ZMB,7.7596435,81.5850205,150
2023-0068-ZMB,-10.4680244,29.1275609,150
2023-0068-ZMB,-15.4163395,28.2818414,150
2023-0068-ZMB,22.219269,114.2252234,150
2023-0069-GNB,14.00065,15.5287167,150
2023-0073-IDN,-5.6816069,144.2489081,150
2023-0074-BFA,11.5462789,-3.605807,150
